q_w,q_x,q_y,q_z,t,c
-0.580602,0.318989,-0.368187,0.652445,1555155707176564,11
-0.580602,0.318989,-0.368187,0.652445,1555155707177862,11
-0.580602,0.318989,-0.368187,0.652445,1555155707179199,11
-0.580724,0.318684,-0.367881,0.652689,1555155707180531,11
-0.580724,0.318684,-0.367881,0.652689,1555155707181852,11
-0.580724,0.318684,-0.367881,0.652689,1555155707183191,11
-0.580724,0.318684,-0.367881,0.652689,1555155707184523,11
-0.580724,0.318684,-0.367881,0.652689,1555155707185811,11
-0.580724,0.318684,-0.367881,0.652689,1555155707187135,11
-0.581456,0.316975,-0.365806,0.654032,1555155707339747,12
-0.581456,0.316975,-0.365806,0.654032,1555155707341100,12
-0.581456,0.316975,-0.365806,0.654032,1555155707342434,12
-0.581456,0.316975,-0.365806,0.654032,1555155707343752,12
-0.581517,0.316853,-0.365623,0.654154,1555155707345100,12
-0.581517,0.316853,-0.365623,0.654154,1555155707346397,12
